HSCode,Commodity,value,country,year
74,COPPER AND ARTICLES THEREOF.,0.64,LATVIA,2017
74,COPPER AND ARTICLES THEREOF.,8.39,LEBANON,2017
74,COPPER AND ARTICLES THEREOF.,0.63,LIBERIA,2017
74,COPPER AND ARTICLES THEREOF.,6.23,LIBYA,2017
74,COPPER AND ARTICLES THEREOF.,2.39,LITHUANIA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.14,LITHUANIA,2017
74,COPPER AND ARTICLES THEREOF.,0.75,LUXEMBOURG,2017
74,COPPER AND ARTICLES THEREOF.,0.01,MACAO,2017
74,COPPER AND ARTICLES THEREOF.,0.16,MADAGASCAR,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.04,MADAGASCAR,2017
74,COPPER AND ARTICLES THEREOF.,545.5,MALAYSIA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",46.75,MALAYSIA,2017
74,COPPER AND ARTICLES THEREOF.,0.91,MALDIVES,2017
74,COPPER AND ARTICLES THEREOF.,0.18,MALI,2017
74,COPPER AND ARTICLES THEREOF.,0,MALTA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.06,MALTA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.02,MARSHALL ISLAND,2017
74,COPPER AND ARTICLES THEREOF.,0.48,MAURITANIA,2017
74,COPPER AND ARTICLES THEREOF.,2.85,MAURITIUS,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.01,MAURITIUS,2017
74,COPPER AND ARTICLES THEREOF.,0.11,MEXICO,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",4.85,MEXICO,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0,MONACO,2017
74,COPPER AND ARTICLES THEREOF.,5.2,MOROCCO,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2.23,MOROCCO,2017
74,COPPER AND ARTICLES THEREOF.,0.62,MOZAMBIQUE,2017
74,COPPER AND ARTICLES THEREOF.,0.27,NAMIBIA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0,NAMIBIA,2017
74,COPPER AND ARTICLES THEREOF.,9.3,NEPAL,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.01,NEPAL,2017
74,COPPER AND ARTICLES THEREOF.,35.44,NETHERLAND,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",7.93,NETHERLAND,2017
74,COPPER AND ARTICLES THEREOF.,0.35,NETHERLANDANTIL,2017
74,COPPER AND ARTICLES THEREOF.,1.13,NEW ZEALAND,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.01,NEW ZEALAND,2017
74,COPPER AND ARTICLES THEREOF.,3.32,NIGERIA,2017
74,COPPER AND ARTICLES THEREOF.,2.55,NORWAY,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1.31,NORWAY,2017
74,COPPER AND ARTICLES THEREOF.,0.04,OMAN,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",344.74,OMAN,2017
74,COPPER AND ARTICLES THEREOF.,1.39,PERU,2017
74,COPPER AND ARTICLES THEREOF.,76.07,PHILIPPINES,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.25,PHILIPPINES,2017
74,COPPER AND ARTICLES THEREOF.,18.03,POLAND,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.54,POLAND,2017
74,COPPER AND ARTICLES THEREOF.,1.81,PORTUGAL,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.03,PORTUGAL,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.01,PUERTO RICO,2017
74,COPPER AND ARTICLES THEREOF.,35.91,QATAR,2017
74,COPPER AND ARTICLES THEREOF.,0.87,REUNION,2017
74,COPPER AND ARTICLES THEREOF.,0.3,ROMANIA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0,ROMANIA,2017
74,COPPER AND ARTICLES THEREOF.,3.52,RUSSIA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",31.63,RUSSIA,2017
74,COPPER AND ARTICLES THEREOF.,0.27,RWANDA,2017
74,COPPER AND ARTICLES THEREOF.,134.12,SAUDI ARAB,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",48.22,SAUDI ARAB,2017
74,COPPER AND ARTICLES THEREOF.,4.47,SENEGAL,2017
74,COPPER AND ARTICLES THEREOF.,0.25,SEYCHELLES,2017
74,COPPER AND ARTICLES THEREOF.,1.09,SIERRA LEONE,2017
74,COPPER AND ARTICLES THEREOF.,7.35,SINGAPORE,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",47.25,SINGAPORE,2017
74,COPPER AND ARTICLES THEREOF.,0.54,SLOVAK REP,2017
74,COPPER AND ARTICLES THEREOF.,2.53,SLOVENIA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2.01,SLOVENIA,2017
74,COPPER AND ARTICLES THEREOF.,0.01,SOMALIA,2017
74,COPPER AND ARTICLES THEREOF.,35.24,SOUTH AFRICA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.15,SOUTH AFRICA,2017
74,COPPER AND ARTICLES THEREOF.,27.54,SPAIN,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.26,SPAIN,2017
74,COPPER AND ARTICLES THEREOF.,29.98,SRI LANKA DSR,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",63,SRI LANKA DSR,2017
74,COPPER AND ARTICLES THEREOF.,0.03,ST LUCIA,2017
74,COPPER AND ARTICLES THEREOF.,1.43,SUDAN,2017
74,COPPER AND ARTICLES THEREOF.,0.01,SURINAME,2017
74,COPPER AND ARTICLES THEREOF.,0.11,SWAZILAND,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0,SWAZILAND,2017
74,COPPER AND ARTICLES THEREOF.,7.42,SWEDEN,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.47,SWEDEN,2017
74,COPPER AND ARTICLES THEREOF.,17.13,SWITZERLAND,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.74,SWITZERLAND,2017
